-21.9203 '    asusta          inthem          ' 'w*Q;b%'
-22.0726 '    liniti          dtoree          ' 'z0J!b-'
-22.0730 '    frustf          nothej          ' 'p+Q;b"'
-22.0738 '    esnott          mnotex          ' 's*J'b0'
-22.0738 '    mnotex          esnott          ' '{7K<s<'
-22.0741 '    gjustc          owtheo          ' 'q3Q;b''
-22.0747 '    frustn          notheb          ' 'p+Q;b*'
-22.0752 '    frustu          nothey          ' 'p+Q;b1'
-22.0757 '    ndusth          fythed          ' 'x=Q;b,'
-22.0758 '    ntorec          finito          ' 'x-K:s''
-22.0758 '    finito          ntorec          ' 'p0J!b+'
-22.0759 '    erusta          mothem          ' 's+Q;b%'
-22.0760 '    osusta          gnthem          ' 'y*Q;b%'
-22.0764 '    arouto          ionnec          ' 'w+K=b+'
-22.0765 '    anotei          isnote          ' 'w7K<s-'
-22.0765 '    firsty          ntsheu          ' 'p0V;b='
-22.0767 '    dtorem          linita          ' 'r-K:s)'
-22.0767 '    linita          dtorem          ' 'z0J!b%'
-22.0776 '    orusta          gothem          ' 'y+Q;b%'
-22.0803 '    mtorei          einite          ' '{-K:s-'
-22.0803 '    einite          mtorei          ' 's0J!b!'
-22.0809 '    einiti          mtoree          ' 's0J!b-'
-22.0809 '    mtoree          einiti          ' '{-K:s!'
-22.0823 '    andrea          iseitm          ' 'w7@:s%'
-22.0824 '    ltooth          dinted          ' 'z-K'b,'
-22.0831 '    asnott          inotex          ' 'w*J'b0'
-22.0832 '    firstj          ntshef          ' 'p0V;b.'
-22.0836 '    mousty          ertheu          ' '{6Q;b='
-22.0837 '    emtoth          mputed          ' 's4P'b,'
-22.0838 '    mostco          errorc          ' '{6W<u+'
-22.0838 '    errorc          mostco          ' 's+V'd''
-22.0838 '    asesth          indhed          ' 'w*A;b,'
-22.0843 '    ftooth          ninted          ' 'p-K'b,'
-22.0849 '    ddusto          lythec          ' 'r=Q;b+'
-22.0849 '    erusti          mothee          ' 's+Q;b-'
-22.0849 '    mtorem          einita          ' '{-K:s)'
-22.0849 '    einita          mtorem          ' 's0J!b%'
-22.0850 '    goustu          orthey          ' 'q6Q;b1'
-22.0855 '    mjusti          ewthee          ' '{3Q;b-'
-22.0855 '    mjusto          ewthec          ' '{3Q;b+'
-22.0867 '    orusti          gothee          ' 'y+Q;b-'
-22.0868 '    astota          inutem          ' 'w*P'b%'
-22.0870 '    andrem          iseita          ' 'w7@:s)'
-22.0885 '    andrec          iseito          ' 'w7@:s''
-22.0901 '    andwhe          iselyi          ' 'w7@?~!'
-22.0902 '    notrea          fruitm          ' 'x6P:s%'
-22.0902 '    fruitm          notrea          ' 'p+Q!b)'
-22.0903 '    ntorea          finitm          ' 'x-K:s%'
-22.0903 '    finitm          ntorea          ' 'p0J!b)'
-22.0910 '    goutsi          ortobe          ' 'q6Q<e-'
-22.0910 '    ortobe          goutsi          ' 'y+P't!'
-22.0911 '    msnoth          enoted          ' '{*J'b,'
-22.0911 '    medire          exerci          ' '{<@!d!'
-22.0911 '    exerci          medire          ' 's!A:u-'
-22.0912 '    andsto          isehec          ' 'w7@;b+'
-22.0915 '    minstm          etohea          ' '{0J;b)'
-22.0922 '    ndusty          fytheu          ' 'x=Q;b='
-22.0923 '    nduste          fythei          ' 'x=Q;b!'
-22.0930 '    aidith          itered          ' 'w0@!b,'
-22.0944 '    asuspe          inthai          ' 'w*Q;f!'
-22.0949 '    andsth          isehed          ' 'w7@;b,'
-22.0949 '    airstm          itshea          ' 'w0V;b)'
-22.0960 '    minite          etorei          ' '{0J!b!'
-22.0960 '    etorei          minite          ' 's-K:s-'
-22.0962 '    gjustk          owtheg          ' 'q3Q;b/'
-22.0964 '    linste          dtohei          ' 'z0J;b!'
-22.0966 '    miniti          etoree          ' '{0J!b-'
-22.0966 '    etoree          miniti          ' 's-K:s!'
-22.0966 '    anoteo          isnotc          ' 'w7K<s+'
-22.0979 '    erusth          mothed          ' 's+Q;b,'
-22.0980 '    nisthe          ftroyi          ' 'x0W<~!'
-22.0980 '    ftroyi          nisthe          ' 'p-V'o-'
-22.0983 '    ndustb          fythen          ' 'x=Q;b&'
-22.0989 '    mjustb          ewthen          ' '{3Q;b&'
-22.0991 '    gsuspe          onthai          ' 'q*Q;f!'
-22.0997 '    orusth          gothed          ' 'y+Q;b,'
-22.0998 '    msuste          enthei          ' '{*Q;b!'
-22.1001 '    linith          dtored          ' 'z0J!b,'
-22.1005 '    aserge          indivi          ' 'w*A:q!'
-22.1006 '    minita          etorem          ' '{0J!b%'
-22.1006 '    etorem          minita          ' 's-K:s)'
-22.1007 '    firstk          ntsheg          ' 'p0V;b/'
-22.1009 '    aserve          indigi          ' 'w*A:`!'
-22.1018 '    anusto          isthec          ' 'w7Q;b+'
-22.1021 '    mnoten          esnotb          ' '{7K<s*'
-22.1021 '    esnotb          mnoten          ' 's*J'b&'
-22.1021 '    firstu          ntshey          ' 'p0V;b1'
-22.1023 '    airsth          itshed          ' 'w0V;b,'
-22.1025 '    dmusta          lpthem          ' 'r4Q;b%'
-22.1027 '    ddusti          lythee          ' 'r=Q;b-'
-22.1030 '    esusta          mnthem          ' 's*Q;b%'
-22.1035 '    andree          iseiti          ' 'w7@:s!'
-22.1037 '    anotec          isnoto          ' 'w7K<s''
-22.1039 '    finity          ntoreu          ' 'p0J!b='
-22.1039 '    ntoreu          finity          ' 'x-K:s1'
-22.1039 '    oinstm          gtohea          ' 'y0J;b)'
-22.1045 '    dtosta          linhem          ' 'r-K;b%'
-22.1046 '    nonvec          fromto          ' 'x6J>s''
-22.1046 '    fromto          nonvec          ' 'p+K%b+'
-22.1049 '    gherth          oudied          ' 'q1A:b,'
-22.1049 '    einste          mtohei          ' 's0J;b!'
